provider_id,name,geography_level,province,dguid,population,population_year,portal_url,portal_license_name,portal_license_url,contact,notes
,City of Abbotsford,,BC,,,,https://opendata-abbotsford.hub.arcgis.com/,,,,
,City of Burnaby,,BC,,,,https://data.burnaby.ca/,,,,
,Capital Regional District,,BC,,,,https://www.crd.bc.ca/about/data/geospatial-data,,,,
,City of Campbell River,,BC,,,,https://data-crcc.opendata.arcgis.com/,,,,
,Cariboo Regional District,,BC,,,,https://crd-true-consulting.hub.arcgis.com/,,,,
,City of Chilliwack,,BC,,,,https://www.chilliwack.com/main/page.cfm?id=2331,,,,
,City of Coquitlam,,BC,,,,https://data.coquitlam.ca/,,,,
,City of Courtenay,,BC,,,,https://data-courtenay.opendata.arcgis.com/,,,,
,Cowichan Valley Regional District,,BC,,,,https://cvrd.ca/3239/GIS-Downloads,,,,
,Columbia Shuswap Regional District,,BC,,,,https://data-csrd.opendata.arcgis.com/,,,,
,City of Cranbrook,,BC,,,,https://cranbrook-open-data-cranbrook.hub.arcgis.com/,,,,
,City of Delta,,BC,,,,https://www.delta.ca/city-hall/municipal-information/open-data-catalogue,,,,
,Regional District of East Kootenay,,BC,,,,https://data3-ca5c0-rdek.opendata.arcgis.com/,,,,
,Township of Esquimalt,,BC,,,,https://opendata.esquimalt.ca/,,,,
,Regional District of Fraser-Fort George,,BC,,,,https://www.rdffg.ca/node/383,,,,
,Town of Gibsons,,BC,,,,https://town-of-gibsons-open-data-portal-myscrd.hub.arcgis.com/,,,,
,City of Grand Forks,,BC,,,,https://opendata.grandforks.ca/,,,,
,City of Kamloops,,BC,,,,https://mydata-kamloops.opendata.arcgis.com/,,,,
,City of Kelowna,,BC,,,,https://opendata.kelowna.ca/,,,,
,District of Lake Country,,BC,,,,https://dlc-open-data-dlc.hub.arcgis.com/,,,,
,City of Langley,,BC,,,,https://data-langleycity.opendata.arcgis.com/,,,,
,Township of Langley,,BC,,,,https://data-tol.opendata.arcgis.com/,,,,
,City of Maple Ridge,,BC,,,,https://opengov.mapleridge.ca/,,,,
,City of Nanaimo,,BC,,,,https://www.nanaimo.ca/open-data-catalogue,,,,
,Regional District of Nanaimo,,BC,,,,https://www.rdn.bc.ca/spatial-data-files,,,,
,City of New Westminster,,BC,,,,https://opendata.newwestcity.ca/,,,,
,Municipality of North Cowichan,,BC,,,,https://www.northcowichan.ca/municipal-services/maps,,,,
,District of North Vancouver,,BC,,,,https://www.geoweb.dnv.org/data/,,,,
,Regional District of North Okanagan,,BC,,,,https://regional-district-of-north-okanagan-gis-open-data-site-rdnogis.hub.arcgis.com/,,,,
,Regional District Okanagan-Similkameen,,BC,,,,https://hub-rdos.opendata.arcgis.com/,,,,
,Regional District of Central Okanagan,,BC,,,,https://gis-rdco.hub.arcgis.com/pages/open-data,,,,
,City of Parksville,,BC,,,,https://city-of-parksville-city-parksville.hub.arcgis.com/,,,,
