checked,provider_id,portal_url,source_url,name,geography_level,province,checked_date,source_ids,notes
,on_barrie_2,https://public-barrie.opendata.arcgis.com/,,City of Barrie,municipality,ON,,,
,on_belleville,https://opendata-bellevillegis.hub.arcgis.com/,https://opendata-bellevillegis.hub.arcgis.com/datasets/bellevilleGIS::active-transportation-network/explore?location=44.168772%2C-77.376178%2C13.86,City of Belleville,municipality,ON,,on_belleville_cycling,"from 2022 CCND vintage, needs re-verification"
,on_brampton,https://geohub.brampton.ca/pages/data,https://geohub.brampton.ca/datasets/brampton::recreational-trails/about,City of Brampton,municipality,ON,,on_brampton_cycling,"from 2023 CCND vintage, needs re-verification"
,on_brantford,https://data-brantford.opendata.arcgis.com/,,City of Brantford,municipality,ON,,,
,on_burlington,https://navburl-burlington.opendata.arcgis.com/,https://navburl-burlington.opendata.arcgis.com/datasets/28c2c17222c54820a4284a7a70b7c61b/explore?location=43.368436%2C-79.816729%2C12.54,City of Burlington,municipality,ON,,on_burlington_cycling,"from 2023 CCND vintage, needs re-verification"
,on_cambridge,https://geohub.cambridge.ca/,https://geohub.cambridge.ca/datasets/cityofcambridge::bikeway-network-1/about,City of Cambridge,municipality,ON,,on_cambridge_cycling,"from 2022 CCND vintage, needs re-verification"
,on_cornwall,https://data-cornwallcity.opendata.arcgis.com/search,https://data-cornwallcity.opendata.arcgis.com/datasets/deff651b312946028aa0cef30e1f5931_0/explore?location=45.037855%2C-74.756803%2C12.33,City of Cornwall,municipality,ON,,on_cornwall_cycling,"from 2023 CCND vintage, needs re-verification"
,on_greater_sudbury,https://opendata.greatersudbury.ca/,https://opendata.greatersudbury.ca/datasets/Sudbury::road-sidewalk-path-trail-1/about,City of Greater Sudbury,municipality,ON,,on_greater_sudbury_cycling,"from 2023 CCND vintage, needs re-verification"
,on_guelph,http://data.open.guelph.ca/,https://geohub.guelph.ca/datasets/cityofguelph::bikefacilities-forpublic/explore?location=43.531443%2C-80.224339%2C12.40,City of Guelph,municipality,ON,,on_guelph_cycling,"from 2023 CCND vintage, needs re-verification"
,on_hamilton,https://open.hamilton.ca/,https://open.hamilton.ca/datasets/2f8d26d5842b4a7c80f60ab8abb6c44a_7/explore,City of Hamilton,municipality,ON,,on_hamilton_cycling,"from 2023 CCND vintage, needs re-verification"
,on_kawartha_lakes,https://open-data-kawartha.hub.arcgis.com/,,City of Kawartha Lakes,municipality,ON,,,
,on_kingston,https://opendatakingston.cityofkingston.ca/,https://opendatakingston.cityofkingston.ca/datasets/87e0baff690548ae80966148827de62c_1,City of Kingston,municipality,ON,,on_kingston_cycling,"from 2023 CCND vintage, needs re-verification"
,on_kitchener,https://open-kitchenergis.opendata.arcgis.com/,https://open-kitchenergis.opendata.arcgis.com/datasets/18817096d9ee49cca89f6a0d6092c2e7_0/explore?location=43.428127%2C-80.474809%2C12.08,City of Kitchener,municipality,ON,,on_kitchener_cycling,"from 2024 CCND vintage, needs re-verification"
,on_london,https://opendata.london.ca/,https://opendata.london.ca/datasets/b9ccfd746f2640b78cc18d2b78ef586a/about,City of London,municipality,ON,,on_london_cycling,"from 2019 CCND vintage, needs re-verification"
,on_markham,http://data-markham.opendata.arcgis.com/,,City of Markham,municipality,ON,,,
,on_mississauga,https://data.mississauga.ca/,https://data.mississauga.ca/datasets/mississauga::2021-city-of-mississauga-cycling-network/about,City of Mississauga,municipality,ON,,on_mississauga_cycling,"from 2021 CCND vintage, needs re-verification"
,on_niagara_falls,https://open.niagarafalls.ca/,https://open.niagarafalls.ca/datasets/niagara-falls-community-bike-lanes/explore,City of Niagara Falls,municipality,ON,,on_niagara_falls_cycling,"from 2023 CCND vintage, needs re-verification"
,on_north_bay,https://data-northbaygis.hub.arcgis.com/,,City of North Bay,municipality,ON,,,
,on_oshawa,https://city-oshawa.opendata.arcgis.com/,,City of Oshawa,municipality,ON,,,
,on_ottawa,https://open.ottawa.ca/,https://open.ottawa.ca/datasets/ottawa::cycling-network/about,City of Ottawa,municipality,ON,,on_ottawa_cycling,"from 2021 CCND vintage, needs re-verification"
,on_peterborough,https://data-ptbo.opendata.arcgis.com/,https://data-ptbo.opendata.arcgis.com/datasets/c0267adc1c084b1cb66b3b58cfea6606_0/explore,City of Peterborough,municipality,ON,,on_peterborough_cycling,"from 2023 CCND vintage, needs re-verification"
,on_pickering,https://opendata.pickering.ca/,,City of Pickering,municipality,ON,,,
,on_quinte_west,https://geodata-quintewest.opendata.arcgis.com/,,City of Quinte West,municipality,ON,,,
,on_sarnia,https://city-of-sarnia.hub.arcgis.com/,,City of Sarnia,municipality,ON,,,
,on_sault_ste_marie,https://cityssm.github.io/,,City of Sault Ste. Marie,municipality,ON,,,
,on_st_catharines,,,City of St. Catharines,municipality,ON,,,
,on_thunder_bay,https://opendata.thunderbay.ca/,,City of Thunder Bay,municipality,ON,,,
,on_toronto,https://open.toronto.ca/,https://open.toronto.ca/dataset/cycling-network/,City of Toronto,municipality,ON,2026-07-16,on_toronto_cycling,
,on_toronto,https://open.toronto.ca/,https://open.toronto.ca/dataset/cycling-network/,City of Toronto,municipality,ON,,on_toronto_cycling_2,"from 2024 CCND vintage, needs re-verification"
,on_vaughan,,,City of Vaughan,municipality,ON,,,
,on_waterloo,https://data.waterloo.ca/,https://rowopendata-rmw.opendata.arcgis.com/datasets/City-of-Waterloo::cycling-infrastructure/about,City of Waterloo,municipality,ON,,on_waterloo_cycling,"from 2019 CCND vintage, needs re-verification"
,on_welland,https://open.welland.ca/,,City of Welland,municipality,ON,,,
,on_windsor,https://opendata.citywindsor.ca/,https://opendata.citywindsor.ca/details/3,City of Windsor,municipality,ON,,on_windsor_cycling,"from 2023 CCND vintage, needs re-verification"
,on_brant,https://catalogue-brant.hub.arcgis.com/,,County of Brant,municipality,ON,,,
,on_essex,https://opendata.countyofessex.ca/,,County of Essex,municipality,ON,,,
,on_haldimand_county,https://opendata-haldimand.hub.arcgis.com/,,Haldimand County,municipality,ON,,,
,on_chatham_kent,https://opendata-chatham-kent.opendata.arcgis.com/,,Municipality of Chatham-Kent,municipality,ON,,,
,on_clarington,,,Municipality of Clarington,municipality,ON,,,
,on_mcdougall,https://mcdougall-hub-wpsgn.hub.arcgis.com/,,Municipality of McDougall,municipality,ON,,,
,on_norfolk_county,https://opendata.norfolkcounty.ca/,,Norfolk County,municipality,ON,,,
,on_ajax,https://opendata.ajax.ca/,https://opendata.ajax.ca/datasets/TownofAjax::active-transportation/about,Town of Ajax,municipality,ON,,on_ajax_cycling,"from 2021 CCND vintage, needs re-verification"
,on_aurora,https://town-of-aurora-data-hub-aurora.hub.arcgis.com/,,Town of Aurora,municipality,ON,,,
,on_caledon,https://data-caledon.opendata.arcgis.com/,,Town of Caledon,municipality,ON,,,
,on_cobourg,https://public-townofcobourg.hub.arcgis.com/,,Town of Cobourg,municipality,ON,,,
,on_halton_hills,,,Town of Halton Hills,municipality,ON,,,
,on_huntsville,https://huntsville-muskoka.opendata.arcgis.com/,,Town of Huntsville,municipality,ON,,,
,on_milton,https://discover-milton.hub.arcgis.com/,https://discover-milton.hub.arcgis.com/datasets/Milton::trails/about,Town of Milton,municipality,ON,,on_milton_cycling,"from 2022 CCND vintage, needs re-verification"
,on_newmarket,https://navigate-newmarket.hub.arcgis.com/pages/open-data,,Town of Newmarket,municipality,ON,,,
,on_oakville,https://portal-exploreoakville.opendata.arcgis.com/,https://portal-exploreoakville.opendata.arcgis.com/datasets/ExploreOakville::cycling-routes/about,Town of Oakville,municipality,ON,,on_oakville_cycling,"from 2024 CCND vintage, needs re-verification"
,on_orangeville,https://data.orangeville.ca/,https://data-orangeville.opendata.arcgis.com/datasets/orangeville::bike-routes/about,Town of Orangeville,municipality,ON,,on_orangeville_cycling,"from 2019 CCND vintage, needs re-verification"
,on_richmond_hill,,,Town of Richmond Hill,municipality,ON,,,
,on_tecumseh,https://tecumseh-essexcounty.opendata.arcgis.com/,,Town of Tecumseh,municipality,ON,,,
,on_whitby,https://geohub-whitby.hub.arcgis.com/,https://geohub-whitby.hub.arcgis.com/datasets/Whitby::cycling-routes/explore,Town of Whitby,municipality,ON,,on_whitby_cycling,"from 2023 CCND vintage, needs re-verification"
,on_woolwich,https://woolwich-geohub-woolwich.hub.arcgis.com/,,Township of Woolwich,municipality,ON,,,
,pe_charlottetown,,,City of Charlottetown,municipality,PE,,,
,pe_stratford,https://www.townofstratford.ca/government/open_government/open_data_catalogue,,Town of Stratford,municipality,PE,,,
,qc_blainville,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-blainville,,Ville de Blainville,municipality,QC,,,
,qc_brossard,,,Ville de Brossard,municipality,QC,,,
,qc_chateauguay,,,Ville de Châteauguay,municipality,QC,,,
,qc_drummondville,https://donnees-vdrummondville.opendata.arcgis.com/search,https://donnees-vdrummondville.opendata.arcgis.com/datasets/vdrummondville::r%C3%A9seau-cyclable/about,Ville de Drummondville,municipality,QC,,qc_drummondville_cycling,"from 2023 CCND vintage, needs re-verification"
,qc_gatineau,https://www.gatineau.ca/portail/default.aspx?c=en-CA&p=publications_cartes_statistiques_donnees_ouvertes/donnees_ouvertes,https://www.donneesquebec.ca/recherche/dataset/vgat_906945613,Ville de Gatineau,municipality,QC,,qc_gatineau_cycling,"from 2024 CCND vintage, needs re-verification"
,qc_granby,,,Ville de Granby,municipality,QC,,,
,qc_laval,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-laval,https://www.donneesquebec.ca/recherche/dataset/pistes-cyclables-et-pietonnieres,Ville de Laval,municipality,QC,,qc_laval_cycling,"from 2023 CCND vintage, needs re-verification"
,qc_longueuil,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-longueuil,https://www.donneesquebec.ca/recherche/dataset/pistes-cyclables-longueuil#,Ville de Longueuil,municipality,QC,,qc_longueuil_cycling,"from 2023 CCND vintage, needs re-verification"
,qc_levis,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-levis,https://www.donneesquebec.ca/recherche/dataset/piste-cyclable-levis,Ville de Lévis,municipality,QC,,qc_levis_cycling,"from 2023 CCND vintage, needs re-verification"
,qc_mascouche,,,Ville de Mascouche,municipality,QC,,,
,qc_mirabel,,,Ville de Mirabel,municipality,QC,,,
,qc_montreal,https://donnees.montreal.ca/,https://donnees.montreal.ca/dataset/5ea29f40-1b5b-4f34-85b3-7c67088ff536/resource/234c8ee4-d9d8-4bb1-b957-3e5cd495a5aa/,Ville de Montréal,municipality,QC,,qc_montreal_cycling,"from 2023 CCND vintage, needs re-verification"
,qc_ville-de-quebec,https://www.donneesquebec.ca/organisation/ville-de-quebec/,,Ville de Québec,municipality,QC,,,
,qc_repentigny,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-repentigny,https://www.donneesquebec.ca/recherche/dataset/vrep-pistes-cyclables#,Ville de Repentigny,municipality,QC,,qc_repentigny_cycling,"from 2023 CCND vintage, needs re-verification"
,qc_rimouski,https://www.donneesquebec.ca/organisation/ville-de-rimouski,https://www.donneesquebec.ca/recherche/dataset/pistes-cyclables-rim,Ville de Rimouski,municipality,QC,,qc_rimouski_cycling,"from 2023 CCND vintage, needs re-verification"
,qc_rouyn_noranda,https://www.donneesquebec.ca/recherche/dataset/?organization=ville-de-rouyn-noranda,,Ville de Rouyn-Noranda,municipality,QC,,,
